round,determinant,gaussian_entropy,gap,sigma,target_entropy
0,414.22383243533784,5.851080309298734,-0.03779764903414673,4.6,5.8888779583328805
1,381.48591515964836,5.809914031613854,-0.07896392671902674,4.6,5.8888779583328805
2,381.3729128858114,5.809765901618487,-0.07911205671439347,4.6,5.8888779583328805
3,381.2332466357502,5.8095827582621435,-0.07929520007073698,4.6,5.8888779583328805
4,381.2332466357502,5.8095827582621435,-0.07929520007073698,4.6,5.8888779583328805
5,381.2332466357502,5.8095827582621435,-0.07929520007073698,4.6,5.8888779583328805
