round,determinant,gaussian_entropy,gap,sigma,target_entropy
0,1003.0318836812478,6.293268354295844,0.4043903959629631,3.2,5.8888779583328805
1,1000.1802929630655,6.291844844256535,0.4029668859236546,3.2,5.8888779583328805
2,993.1541540086757,6.2883200127544026,0.39944205442152203,3.2,5.8888779583328805
3,988.2729806900279,6.285856544324374,0.3969785859914934,3.2,5.8888779583328805
4,985.6167469485139,6.284510858540774,0.3956329002078931,3.2,5.8888779583328805
5,983.9938306622846,6.2836868800995695,0.394808921766689,3.2,5.8888779583328805
