stage,iteration,determinant,gaussian_entropy,gap,sigma,target_entropy
1,0,1111.1111111111104,6.344434963729327,0.4555570053964466,5.5,5.8888779583328805
1,1,1111.1094409304578,6.344434212147468,0.45555625381458764,5.5,5.8888779583328805
1,2,1111.0927394616654,6.344426696418728,0.45554873808584784,5.5,5.8888779583328805
1,3,1110.9257755550166,6.344351555772584,0.4554735974397035,5.5,5.8888779583328805
1,4,1109.2611990228093,6.343601809529063,0.4547238511961824,5.5,5.8888779583328805
1,5,1093.1134049941343,6.336269685662909,0.44739172733002874,5.5,5.8888779583328805
1,6,974.8213713500713,6.279004189080011,0.39012623074713026,5.5,5.8888779583328805
1,7,928.857741058666,6.254854864322943,0.3659769059900624,5.5,5.8888779583328805
1,8,912.8473702063661,6.246161412756711,0.3572834544238308,5.5,5.8888779583328805
1,9,912.1774836921758,6.245794356635342,0.35691639830246125,5.5,5.8888779583328805
1,10,911.5735708096436,6.24546321883936,0.35658526050647943,5.5,5.8888779583328805
1,11,911.0310231357895,6.245165541717465,0.3562875833845842,5.5,5.8888779583328805
1,12,910.5464816960972,6.244899540710186,0.35602158237730563,5.5,5.8888779583328805
1,13,910.1157111529504,6.244662939679596,0.35578498134671577,5.5,5.8888779583328805
1,14,909.736224021971,6.24445441329943,0.3555764549665499,5.5,5.8888779583328805
1,15,909.4050379663963,6.244272357036866,0.3553943987039858,5.5,5.8888779583328805
1,16,909.1197490570909,6.244115477728054,0.3552375193951738,5.5,5.8888779583328805
1,17,908.8780831827529,6.243982548044929,0.35510458971204883,5.5,5.8888779583328805
1,18,908.6782216028166,6.243872586345137,0.3549946280122569,5.5,5.8888779583328805
1,19,908.5188429871228,6.243784880603582,0.3549069222707013,5.5,5.8888779583328805
1,20,908.3973556273999,6.24371801601181,0.35484005767892945,5.5,5.8888779583328805
1,21,908.3138068746894,6.243672026999086,0.3547940686662052,5.5,5.8888779583328805
1,22,908.2659116917667,6.243645661416313,0.3547677030834322,5.5,5.8888779583328805
1,23,908.2525943818546,6.2436383301890945,0.354760371856214,5.5,5.8888779583328805
1,24,907.1970268822782,6.243056894270321,0.35417893593744054,5.5,5.8888779583328805
1,25,907.1398722033782,6.243025392580118,0.3541474342472375,5.5,5.8888779583328805
1,26,907.1115611913567,6.24300978779045,0.35413182945756905,5.5,5.8888779583328805
1,27,907.1113957682636,6.243009696609213,0.35413173827633226,5.5,5.8888779583328805
1,28,906.2523247573943,6.242535952116912,0.3536579937840312,5.5,5.8888779583328805
1,29,906.2139733609658,6.242514792332328,0.3536368339994471,5.5,5.8888779583328805
1,30,906.1978992670878,6.242505923435516,0.3536279651026355,5.5,5.8888779583328805
1,31,905.5514798138922,6.242149130444118,0.3532711721112376,5.5,5.8888779583328805
1,32,905.5070683191349,6.24212460804819,0.3532466497153095,5.5,5.8888779583328805
1,33,905.4806010892909,6.242109993244184,0.3532320349113034,5.5,5.8888779583328805
1,34,905.4723247797407,6.242105423103551,0.35322746477067035,5.5,5.8888779583328805
1,35,904.943615540923,6.241813385653995,0.35293542732111405,5.5,5.8888779583328805
1,36,904.9105973136552,6.2417951420700435,0.35291718373716296,5.5,5.8888779583328805
1,37,904.89139589016,6.2417845323881185,0.35290657405523795,5.5,5.8888779583328805
1,38,904.885841605905,6.241781463345067,0.35290350501218626,5.5,5.8888779583328805
1,39,904.4542071538377,6.241542904285618,0.35266494595273734,5.5,5.8888779583328805
1,40,904.4274771132314,6.241528127177286,0.3526501688444057,5.5,5.8888779583328805
