round,determinant,gaussian_entropy,gap,sigma,target_entropy
0,459.0442174266522,5.902450336251124,0.013572377918243284,4.2,5.8888779583328805
1,365.66695869769103,5.788738551525906,-0.10013940680697431,4.2,5.8888779583328805
2,365.52545302186724,5.7885450242472825,-0.10033293408559807,4.2,5.8888779583328805
3,365.4114940175151,5.78838911612725,-0.10048884220563092,4.2,5.8888779583328805
4,365.4114940175151,5.78838911612725,-0.10048884220563092,4.2,5.8888779583328805
5,365.4114940175151,5.78838911612725,-0.10048884220563092,4.2,5.8888779583328805
